Model,DIC,logscore
heatlag,-7321.41,-0.104
heat,-7335.87,-0.104
preclag,-7347.92,-0.104
prec,-7336.97,-0.104
airlag,-7326.24,-0.104
air,-7334.16,-0.104
stringencylag,-7321.37,-0.104
stringency,-7336.7,-0.104
