Model,DIC,logscore
heatlag,-13079.56,-1.13
heat,-13081.38,-1.131
preclag,-13153.24,-1.135
prec,-13093.42,-1.132
airlag,-13242.25,-1.141
air,-13108.55,-1.133
stringencylag,-13227.77,-1.14
stringency,-13082.54,-1.131
