Model,DIC,logscore
heatlag,-2116.48,-0.758
heat,-2106.08,-0.754
preclag,-1815.32,-0.652
prec,-1799.64,-0.646
airlag,-1796.7,-0.645
air,-1792.47,-0.643
stringencylag,,
stringency,,
