Model,DIC,logscore
heatlag,-146.92,-0.003
heat,-150.85,-0.003
preclag,-176.1,-0.004
prec,-150.59,-0.003
airlag,-163.96,-0.004
air,-143.33,-0.003
stringencylag,-152.65,-0.003
stringency,-153.54,-0.003
