Model,DIC,logscore
heatlag,-1248.74,-0.086
heat,-1238.49,-0.085
preclag,-1229.48,-0.085
prec,-1237.21,-0.085
airlag,-1264.76,-0.087
air,-1245.44,-0.086
stringencylag,,
stringency,,
