Model,DIC,logscore
heatlag,6436.43,0.266
heat,6464.49,0.267
preclag,6427.38,0.266
prec,6466.06,0.267
airlag,6373.15,0.263
air,6463.44,0.267
stringencylag,,
stringency,,
