Model,DIC,logscore
heatlag,17293.53,0.338
heat,17291.94,0.338
preclag,17197.39,0.336
prec,17247.48,0.337
airlag,17248.36,0.337
air,17279.54,0.338
stringencylag,17227.84,0.337
stringency,17261,0.337
