Model,DIC,logscore
heatlag,-9294.31,-1.114
heat,-9224.8,-1.113
preclag,-9271.7,-1.113
prec,-9215.62,-1.113
airlag,-9528.8,-1.136
air,-9229.9,-1.114
stringencylag,,
stringency,,
