Model,DIC,logscore
heatlag,-18839.35,-1.646
heat,-18836.49,-1.647
preclag,-18776.16,-1.641
prec,-18835.2,-1.646
airlag,-19044.41,-1.638
air,-18836.03,-1.647
stringencylag,-18892.89,-1.636
stringency,-18846.02,-1.647
