Model,DIC,logscore
heatlag,8506.78,0.189
heat,8502.88,0.189
preclag,8492.75,0.188
prec,8502.68,0.189
airlag,8479.83,0.188
air,8502.11,0.189
stringencylag,8480.9,0.188
stringency,8475.19,0.188
