Model,DIC,logscore
heatlag,-4091.23,-1.048
heat,-4053.61,-1.039
preclag,-3866.3,-0.994
prec,-3873.06,-0.994
airlag,-3881.28,-0.996
air,-3871.59,-0.994
stringencylag,,
stringency,,
