Model,DIC,logscore
heatlag,-24416.98,-0.716
heat,-24339.32,-0.714
preclag,-24381.88,-0.715
prec,-24341.63,-0.714
airlag,-24338.89,-0.714
air,-24337.8,-0.714
stringencylag,-24363.54,-0.714
stringency,-24337.84,-0.714
