Model,DIC,logscore
heatlag,-584.54,-0.063
heat,-587.02,-0.063
preclag,-608.6,-0.065
prec,-587.23,-0.063
airlag,-584.46,-0.063
air,-588.48,-0.063
stringencylag,-629.23,-0.067
stringency,-586.62,-0.063
