Model,DIC,logscore
heatlag,11376.39,0.251
heat,11376.38,0.251
preclag,11340.9,0.25
prec,11377.26,0.251
airlag,11407.28,0.251
air,11376.26,0.251
stringencylag,,
stringency,,
