Model,DIC,logscore
heatlag,8484.94,0.276
heat,8487.61,0.276
preclag,8342.18,0.271
prec,8424.34,0.274
airlag,8457.57,0.275
air,8485.39,0.276
stringencylag,8421.78,0.273
stringency,8406.12,0.273
