Model,DIC,logscore
heatlag,-11826.38,-1.536
heat,-11801.47,-1.533
preclag,-11825.71,-1.537
prec,-11803.53,-1.533
airlag,-11807.75,-1.534
air,-11802.66,-1.533
stringencylag,-11810.94,-1.534
stringency,-11812.21,-1.534
