Model,DIC,logscore
heatlag,4583.89,0.295
heat,4588.51,0.295
preclag,4550.14,0.292
prec,4567.59,0.294
airlag,4556.29,0.293
air,4590.52,0.295
stringencylag,,
stringency,,
