Model,DIC,logscore
heatlag,-7475.58,-1.355
heat,-7478.5,-1.355
preclag,-7476.83,-1.355
prec,-7484.95,-1.356
airlag,-7475.85,-1.354
air,-7480.38,-1.355
stringencylag,-7490.25,-1.357
stringency,-7480.02,-1.355
