Model,DIC,logscore
heatlag,-5791.01,-0.99
heat,-5601.53,-0.957
preclag,-5323.79,-0.911
prec,-5322.44,-0.91
airlag,-5322.57,-0.911
air,-5321.55,-0.91
stringencylag,,
stringency,,
