Model,DIC,logscore
heatlag,18550.99,0.296
heat,18555.74,0.296
preclag,18553.68,0.296
prec,18550.5,0.296
airlag,18546.53,0.296
air,18560.67,0.296
stringencylag,18463.48,0.294
stringency,18512.67,0.295
