Model,DIC,logscore
heatlag,-14059.53,-0.827
heat,-14030.3,-0.826
preclag,-14027.27,-0.826
prec,-14026.16,-0.826
airlag,-14025.86,-0.826
air,-14027.38,-0.826
stringencylag,,
stringency,,
