Model,DIC,logscore
heatlag,-32646.46,-0.639
heat,-32622.01,-0.639
preclag,-32649.5,-0.639
prec,-32621.94,-0.639
airlag,-32783.18,-0.642
air,-32637.5,-0.639
stringencylag,,
stringency,,
