Model,DIC,logscore
heatlag,-9294.64,-1.114
heat,-9224.88,-1.113
preclag,-9271.72,-1.113
prec,-9215.78,-1.113
airlag,-9528.53,-1.136
air,-9230.02,-1.114
stringencylag,,
stringency,,
